transaction_id,customer_id,transaction_timestamp,amount,merchant_category,is_fraud,year,month
500006,49108,2023-05-06T00:00:00.000+02:00,274.1303337,travel,0,2023,5
500010,39120,2023-05-15T00:00:00.000+02:00,967.2886812,groceries,0,2023,5
500018,50180,2023-05-24T00:00:00.000+02:00,645.607027,travel,0,2023,5
500019,3885,2023-05-09T00:00:00.000+02:00,33.22484612,fashion,0,2023,5
500020,43392,2023-05-12T00:00:00.000+02:00,679.432261,electronics,0,2023,5
500026,302,2023-05-25T00:00:00.000+02:00,445.011426,electronics,0,2023,5
500096,37544,2023-05-03T00:00:00.000+02:00,412.037554,gaming,0,2023,5
500111,45285,2023-05-07T00:00:00.000+02:00,174.9939229,gaming,0,2023,5
500112,28783,2023-05-01T00:00:00.000+02:00,784.6558512,fashion,0,2023,5
500114,23205,2023-05-21T00:00:00.000+02:00,56.2733549,groceries,0,2023,5
500127,55037,2023-05-15T00:00:00.000+02:00,817.6663153,groceries,0,2023,5
500134,36145,2023-05-17T00:00:00.000+02:00,271.8882439,fashion,0,2023,5
500135,31388,2023-05-10T00:00:00.000+02:00,167.7820481,travel,0,2023,5
500158,46960,2023-05-20T00:00:00.000+02:00,948.394321,groceries,0,2023,5
500166,27613,2023-05-07T00:00:00.000+02:00,716.3870919,gaming,0,2023,5
500170,40035,2023-05-13T00:00:00.000+02:00,97.46645434,electronics,0,2023,5
500180,33950,2023-05-12T00:00:00.000+02:00,164.0544471,travel,0,2023,5
500185,33752,2023-05-28T00:00:00.000+02:00,475.2038896,gaming,0,2023,5
500220,3967,2023-05-27T00:00:00.000+02:00,273.889702,gaming,0,2023,5
500223,9400,2023-05-11T00:00:00.000+02:00,479.5068331,groceries,0,2023,5
500227,55306,2023-05-11T00:00:00.000+02:00,431.9997494,travel,0,2023,5
500231,12402,2023-05-01T00:00:00.000+02:00,162.8819411,fashion,0,2023,5
500242,40556,2023-05-17T00:00:00.000+02:00,949.8101121,electronics,0,2023,5
500252,16993,2023-05-27T00:00:00.000+02:00,621.0721195,electronics,0,2023,5
500255,44527,2023-05-15T00:00:00.000+02:00,100.6046388,fashion,1,2023,5
500256,49488,2023-05-30T00:00:00.000+02:00,766.2722035,groceries,0,2023,5
500260,28340,2023-05-07T00:00:00.000+02:00,558.396177,gaming,0,2023,5
500264,45583,2023-05-03T00:00:00.000+02:00,496.4698483,electronics,0,2023,5
500267,37887,2023-05-14T00:00:00.000+02:00,187.8230033,travel,0,2023,5
500278,8062,2023-05-02T00:00:00.000+02:00,222.3665572,fashion,0,2023,5
500295,1038,2023-05-02T00:00:00.000+02:00,397.4562711,travel,0,2023,5
500320,26541,2023-05-09T00:00:00.000+02:00,512.669162,electronics,0,2023,5
500321,25365,2023-05-16T00:00:00.000+02:00,982.5292784,travel,0,2023,5
500325,18539,2023-05-20T00:00:00.000+02:00,394.3192213,groceries,0,2023,5
500326,57966,2023-05-24T00:00:00.000+02:00,614.509062,electronics,0,2023,5
500328,9812,2023-05-18T00:00:00.000+02:00,940.9365102,electronics,0,2023,5
500330,45576,2023-05-13T00:00:00.000+02:00,798.608427,fashion,0,2023,5
500350,45768,2023-05-14T00:00:00.000+02:00,78.27068246,gaming,0,2023,5
500352,39627,2023-05-25T00:00:00.000+02:00,399.4253032,fashion,0,2023,5
500372,9440,2023-05-08T00:00:00.000+02:00,159.548629,gaming,0,2023,5
500380,25759,2023-05-07T00:00:00.000+02:00,12.04741303,travel,0,2023,5
500388,25069,2023-05-13T00:00:00.000+02:00,710.2126593,electronics,0,2023,5
500389,59135,2023-05-17T00:00:00.000+02:00,546.8892863,groceries,0,2023,5
500394,3377,2023-05-23T00:00:00.000+02:00,442.2951643,travel,0,2023,5
500395,59449,2023-05-13T00:00:00.000+02:00,138.7994045,groceries,0,2023,5
500401,43914,2023-05-14T00:00:00.000+02:00,233.0156705,groceries,0,2023,5
500409,17571,2023-05-21T00:00:00.000+02:00,417.2066089,electronics,0,2023,5
500412,34858,2023-05-22T00:00:00.000+02:00,627.2278308,groceries,0,2023,5
500414,52182,2023-05-10T00:00:00.000+02:00,381.2917285,electronics,0,2023,5
500420,4457,2023-05-16T00:00:00.000+02:00,639.9772986,groceries,0,2023,5
500428,21991,2023-05-04T00:00:00.000+02:00,967.2180731,travel,0,2023,5
500440,49618,2023-05-04T00:00:00.000+02:00,423.0209598,groceries,1,2023,5
500451,42906,2023-05-27T00:00:00.000+02:00,317.475624,gaming,0,2023,5
500459,27326,2023-05-20T00:00:00.000+02:00,264.6674248,groceries,0,2023,5
500464,54285,2023-05-29T00:00:00.000+02:00,236.6194954,electronics,0,2023,5
500477,31108,2023-05-11T00:00:00.000+02:00,962.2961847,electronics,0,2023,5
500499,39619,2023-05-22T00:00:00.000+02:00,575.8379592,electronics,0,2023,5
500508,9220,2023-05-18T00:00:00.000+02:00,151.3599201,groceries,0,2023,5
500513,24656,2023-05-30T00:00:00.000+02:00,156.6135724,groceries,0,2023,5
500516,55280,2023-05-29T00:00:00.000+02:00,738.1111605,fashion,0,2023,5
500519,29377,2023-05-20T00:00:00.000+02:00,95.96532741,travel,0,2023,5
500522,55386,2023-05-22T00:00:00.000+02:00,665.7452441,groceries,0,2023,5
500550,54295,2023-05-25T00:00:00.000+02:00,455.7767695,travel,0,2023,5
500554,38041,2023-05-23T00:00:00.000+02:00,167.4010153,travel,0,2023,5
500582,12305,2023-05-15T00:00:00.000+02:00,726.1325549,groceries,0,2023,5
500586,48750,2023-05-04T00:00:00.000+02:00,938.3137198,travel,0,2023,5
500593,25846,2023-05-18T00:00:00.000+02:00,229.1932662,fashion,0,2023,5
500595,48607,2023-05-04T00:00:00.000+02:00,931.3154382,travel,0,2023,5
500596,34277,2023-05-06T00:00:00.000+02:00,882.3330864,electronics,0,2023,5
500611,6855,2023-05-30T00:00:00.000+02:00,556.1828006,electronics,0,2023,5
500632,12168,2023-05-23T00:00:00.000+02:00,300.2438528,gaming,0,2023,5
500647,57446,2023-05-29T00:00:00.000+02:00,409.2068464,travel,0,2023,5
500669,7848,2023-05-22T00:00:00.000+02:00,587.6423603,fashion,0,2023,5
500675,30586,2023-05-10T00:00:00.000+02:00,731.9912988,groceries,0,2023,5
500693,27644,2023-05-16T00:00:00.000+02:00,258.8759834,groceries,0,2023,5
500699,47129,2023-05-28T00:00:00.000+02:00,829.3134749,fashion,1,2023,5
500710,11766,2023-05-13T00:00:00.000+02:00,134.5136913,gaming,0,2023,5
500729,14422,2023-05-30T00:00:00.000+02:00,632.1494321,fashion,0,2023,5
500752,37860,2023-05-29T00:00:00.000+02:00,104.8162827,electronics,0,2023,5
500754,17529,2023-05-19T00:00:00.000+02:00,960.2945486,fashion,0,2023,5
500757,31123,2023-05-18T00:00:00.000+02:00,408.2037873,electronics,0,2023,5
500768,11851,2023-05-12T00:00:00.000+02:00,178.0875021,gaming,0,2023,5
500772,18365,2023-05-30T00:00:00.000+02:00,178.7630374,groceries,0,2023,5
500782,42891,2023-05-27T00:00:00.000+02:00,474.2227707,groceries,0,2023,5
500796,51344,2023-05-11T00:00:00.000+02:00,843.9641857,electronics,0,2023,5
500813,39335,2023-05-19T00:00:00.000+02:00,856.1252787,electronics,0,2023,5
500814,20550,2023-05-13T00:00:00.000+02:00,758.9202698,electronics,0,2023,5
500830,32719,2023-05-18T00:00:00.000+02:00,374.3016392,groceries,0,2023,5
500833,29159,2023-05-13T00:00:00.000+02:00,20.09709038,gaming,0,2023,5
500889,27780,2023-05-31T00:00:00.000+02:00,734.1664618,travel,0,2023,5
500890,31198,2023-05-23T00:00:00.000+02:00,690.3204484,groceries,0,2023,5
500892,37362,2023-05-11T00:00:00.000+02:00,481.1791997,fashion,0,2023,5
500897,16909,2023-05-01T00:00:00.000+02:00,889.36683,electronics,0,2023,5
500899,23906,2023-05-30T00:00:00.000+02:00,410.1969011,electronics,0,2023,5
500911,17162,2023-05-07T00:00:00.000+02:00,724.4056257,travel,0,2023,5
500914,19162,2023-05-29T00:00:00.000+02:00,287.2623616,fashion,0,2023,5
500922,18494,2023-05-29T00:00:00.000+02:00,349.431573,electronics,0,2023,5
500923,42407,2023-05-08T00:00:00.000+02:00,498.4100837,gaming,0,2023,5
500934,20832,2023-05-24T00:00:00.000+02:00,658.2061587,electronics,0,2023,5
500942,23883,2023-05-02T00:00:00.000+02:00,934.6200652,fashion,0,2023,5
500973,22862,2023-05-24T00:00:00.000+02:00,880.6830517,electronics,0,2023,5
500984,31053,2023-05-30T00:00:00.000+02:00,353.7534292,groceries,0,2023,5
500992,25220,2023-05-03T00:00:00.000+02:00,579.5829574,fashion,0,2023,5
500993,22034,2023-05-29T00:00:00.000+02:00,375.0519966,gaming,0,2023,5
501000,36220,2023-05-10T00:00:00.000+02:00,773.1941121,gaming,0,2023,5
501005,33551,2023-05-17T00:00:00.000+02:00,269.0382165,gaming,0,2023,5
